S.no,Input data
1,input Name
2,Bandha Pukur Bus Stand Acad
3,Bandhab Samiti Actvt
4,Bandhab Sangha AFB
5,Bandhu Dal ! Club
6,Bandhu Dol Sporting Club.
7,Banerjee Durga Temple.
8,Bangopalpur Pry (School)
9,Banh Ugly Man Milon Samiti
10,Bank Sol
11,Bankaanla
12,Bankura Brick Field Owners Associateeion
13,Bankura Police Concoop Socit
14,Banskhal Primary School
15,Banskhana Jalpai M. S Primary School
16,"Barabatti Kali Mandir, Kharida"
17,Basudevpur Jame Masjid.
18,Basudevpur Palli Hitasadhani HS
19,"Beacon Public School, Sukna"
20,Bediapara Monomohit High Co Ed
21,Before Bayam Samity Deter Youth Service Govt. W.B.
22,Behala Milan Tirtha (Mandir) Seva Samity
23,Belsingha 2no. Gram Panchayet
24,Beltala Girls' Primary School
25,Bene Para Shiv Mandir
26,Bene Pukur Co-operative Society
27,Bhagabankhali 1st Grade Bijoy Maitir Chak
28,Bharat Sevashram Sangha - Siliguri
29,"Bharat Sevashram Sangha , Bongaon"
30,Bhataghari New Set Up Upper Prathmik Vidyalaya
31,Bhattapara Enatulibag S. N. G . S . F . P . School
32,Bhawaninagar M M High School.
33,Bhutsahar
34,Bice Computer Training Center
35,Bichali Ghat Shiv Mandir
36,Bidhan Park N. D. T. S. Office
37,Bisha Laxmipur Girish CH.Singha Jr. High School
38,Bishnupur Public Primary Teachers' Training Institute
39,Bishop's House
40,Bishramba
41,Bismayal
42,Bisrian Chalik P. D. G. P. High School
43,Biswalaxmi Sporting & Cultural Club
44,"Bit, Katwa"
45,Bivas Sir's Classes
46,Biyasagar Primary School
47,Bjym - Murshidabad
48,Bliss Age - Branch 1
49,Bljpur
50,Blood Bank-S. D. Hospital
51,Blooming Bud K.G. School
52,Bnaigachi Yubak Sangha
53,Boardang Pry School
54,Bodhichariya Senior Secondary Sch
55,Bokultala Shiv Mandir.
56,Bolla F.P. School
57,Bolla R.K. High School
58,Bollovpur Govt. Primary School
59,Bolpur Girls' Primary School
60,Bolsiddhi K.M. High School
61,Bonbiddi Hanuman Mandir (Upar Para)
62,Borodighivdhar
63,Borothakurer Mandir (Hindu Temple)
64,Boyanika Textile Govt. Of Orissa
65,Boy's Club
66,BPHC Hospital-ER
67,"Bpta, Cooch Behar District Committee"
68,"Brahm Vidyalaya And Ashram, Kali Pahadi, Asansol"
69,Brait Cereer K. G. School
70,Brajakishorpur D. G. High School
71,Brajamohanpur M.S.K. School
72,Bramchani Club
73,"Branch Office, Liluah"
74,Burima Pir Dargah.
75,Forest Range Office Govt of West Bengal
76,Fuction Hall
77,Fulbari F.P. School
78,Funn Joy Preschool And Daycare
79,Funtorial
80,G.C. Engineering Works
81,G.C. Udyog
82,G.D. Goenka Public School
83,"G.D. Goenka Public School, Siliguri"
84,G.E.L. Church
85,G.G.C. United Club
86,G.K. Association
87,Ganti-Kadihati Jr. Basic School
88,Gardhal Para Primary School F. P.
89,"Gariahat Masjid, Kolkata"
90,Garib Nawaz Primarymary Junior High School
91,General Pool Govt Office
92,Genome the Fertility Centre-ER
93,Gentegori B.M Jr Basic School
94,Ghatihara Junior Basic High School.
95,Ghera F.P. School
96,Ghipukuria Adhibasi F.P. School
97,Ghoshpur Nimtala Para F.P. School
98,Ghungurdihi Pry School
99,Giashil Jr High School
100,Gokarna P.M School Murshidabad West Bengal - Nasim Ikbal
101,Gokhurapota Nadir Dhar Para Pry.School
102,Golgher Bus Standard
103,Gopaliimhighschool
104,Gopegram Pry School
105,Goruhat Durga Mandir.
106,Gosaba R. R. Institute
107,Gossain Bahura Jr High School
108,Goula Masjid & Madrassa
109,Gour Netai Mandir
110,Gour Netai Mandir Primary School
111,Gour roharidham Milan Mandir
112,Gouranga Nagar Primarily School
113,Gouranga Para F.P. School
114,Government of West Bengal Finance Dept
115,Government of West Bengal Office of the Deputy Excuse Collector
116,Government Of West Bengal Office Of The Encharge Of Excise
117,Government of West Bengal P D Roads Deptt
118,Government Primary School Kenda Mari Jalpai
119,Government Primary School Kendbani
120,Government Primary School Kismath
121,Government Primary School Kismatnai Kund
